location_id,short_name,lead_hours,value_old,value_new,absolute_difference,tolerance,within_tolerance
binh_dinh_grid_010,10u,0,1.4069932103157043,1.407039150595665,4.5940279960632324e-05,0.001,True
binh_dinh_grid_011,10u,0,2.0193284153938293,2.019343838095665,1.5422701835632324e-05,0.001,True
binh_dinh_grid_013,10u,0,0.9592087864875793,0.959163174033165,4.5612454414367676e-05,0.001,True
binh_dinh_grid_014,10u,0,0.7723191380500793,0.772273525595665,4.5612454414367676e-05,0.001,True
binh_dinh_grid_016,10u,0,0.9343979954719543,0.934382900595665,1.5094876289367676e-05,0.001,True
binh_dinh_grid_010,10v,0,1.5954419374465942,1.5954333543777466,8.58306884765625e-06,0.001,True
binh_dinh_grid_011,10v,0,2.0870190858840942,2.0870105028152466,8.58306884765625e-06,0.001,True
binh_dinh_grid_013,10v,0,1.2391186952590942,1.2391101121902466,8.58306884765625e-06,0.001,True
binh_dinh_grid_014,10v,0,1.3312817811965942,1.3312731981277466,8.58306884765625e-06,0.001,True
binh_dinh_grid_016,10v,0,0.7090893983840942,0.7090808153152466,8.58306884765625e-06,0.001,True
binh_dinh_grid_010,2d,0,296.1426696777344,296.14263916015625,3.0517578125e-05,0.001,True
binh_dinh_grid_011,2d,0,296.5256652832031,296.525634765625,3.0517578125e-05,0.001,True
binh_dinh_grid_013,2d,0,296.0049743652344,296.0050048828125,3.0517578125e-05,0.001,True
binh_dinh_grid_014,2d,0,296.9165344238281,296.91650390625,3.0517578125e-05,0.001,True
binh_dinh_grid_016,2d,0,295.8731994628906,295.87322998046875,3.0517578125e-05,0.001,True
binh_dinh_grid_010,2t,0,301.6611328125,301.66119384765625,6.103515625e-05,0.001,True
binh_dinh_grid_011,2t,0,301.27056884765625,301.27056884765625,0.0,0.001,True
binh_dinh_grid_013,2t,0,299.89727783203125,299.89727783203125,0.0,0.001,True
binh_dinh_grid_014,2t,0,301.54791259765625,301.54791259765625,0.0,0.001,True
binh_dinh_grid_016,2t,0,299.8114013671875,299.81146240234375,6.103515625e-05,0.001,True
binh_dinh_grid_010,sp,0,100176.78125,100176.75,0.03125,0.2,True
binh_dinh_grid_011,sp,0,100117.46875,100117.5,0.03125,0.2,True
binh_dinh_grid_013,sp,0,97969.71875,97969.75,0.03125,0.2,True
binh_dinh_grid_014,sp,0,100233.96875,100234.0,0.03125,0.2,True
binh_dinh_grid_016,sp,0,97718.46875,97718.5,0.03125,0.2,True
binh_dinh_grid_010,tcc,0,99.27503204345703,99.27506256103516,3.0517578125e-05,0.005,True
binh_dinh_grid_011,tcc,0,99.85987091064453,99.8598403930664,3.0517578125e-05,0.005,True
binh_dinh_grid_013,tcc,0,99.72437286376953,99.7243423461914,3.0517578125e-05,0.005,True
binh_dinh_grid_014,tcc,0,99.9007339477539,99.9007339477539,0.0,0.005,True
binh_dinh_grid_016,tcc,0,99.87454986572266,99.87454986572266,0.0,0.005,True
binh_dinh_grid_010,ssr,0,0.0,0.0,0.0,2048.0,True
binh_dinh_grid_011,ssr,0,0.0,0.0,0.0,2048.0,True
binh_dinh_grid_013,ssr,0,0.0,0.0,0.0,2048.0,True
binh_dinh_grid_014,ssr,0,0.0,0.0,0.0,2048.0,True
binh_dinh_grid_016,ssr,0,0.0,0.0,0.0,2048.0,True
binh_dinh_grid_010,tp,0,0.0,0.0,0.0,0.0001,True
binh_dinh_grid_011,tp,0,0.0,0.0,0.0,0.0001,True
binh_dinh_grid_013,tp,0,0.0,0.0,0.0,0.0001,True
binh_dinh_grid_014,tp,0,0.0,0.0,0.0,0.0001,True
binh_dinh_grid_016,tp,0,0.0,0.0,0.0,0.0001,True
binh_dinh_grid_010,10u,6,1.466862678527832,1.4669814109802246,0.00011873245239257812,0.001,True
binh_dinh_grid_011,10u,6,-1.692683219909668,-1.6926865577697754,3.337860107421875e-06,0.001,True
binh_dinh_grid_013,10u,6,0.42023181915283203,0.4203505516052246,0.00011873245239257812,0.001,True
binh_dinh_grid_014,10u,6,-1.497492790222168,-1.4973740577697754,0.00011873245239257812,0.001,True
binh_dinh_grid_016,10u,6,1.506291389465332,1.5062880516052246,3.337860107421875e-06,0.001,True
binh_dinh_grid_010,10v,6,2.6955056190490723,2.6955443620681763,3.8743019104003906e-05,0.001,True
binh_dinh_grid_011,10v,6,3.7197976112365723,3.7198363542556763,3.8743019104003906e-05,0.001,True
binh_dinh_grid_013,10v,6,1.1962380409240723,1.1962767839431763,3.8743019104003906e-05,0.001,True
