location_id,canonical_lat,canonical_lon,run_time,lead_hours,valid_time,forecast_temperature_c,verification_temperature_c,temperature_error_c,tigge_grid_lat,tigge_grid_lon,tigge_distance_km,era5_grid_lat,era5_grid_lon,era5_distance_km,forecast_source,verification_source,spatial_alignment
binh_dinh_audit_01,13.78,109.22,2026-08-01,0,2026-08-01 00:00:00,28.448892211914085,28.301538085937523,-0.1473541259765625,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,6,2026-08-01 06:00:00,29.29236755371096,31.433984375000023,2.1416168212890625,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,12,2026-08-01 12:00:00,28.276712036132835,29.048455810546898,0.7717437744140625,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,18,2026-08-01 18:00:00,26.976831054687523,28.118859863281273,1.14202880859375,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,24,2026-08-02 00:00:00,28.004754638671898,28.289025878906273,0.284271240234375,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,30,2026-08-02 06:00:00,33.2340026855469,32.44863281250002,-0.785369873046875,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,36,2026-08-02 12:00:00,28.13507995605471,29.337762451171898,1.2026824951171875,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,42,2026-08-02 18:00:00,27.61853942871096,28.440820312500023,0.8222808837890625,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,48,2026-08-03 00:00:00,28.240289306640648,28.380029296875023,0.139739990234375,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,54,2026-08-03 06:00:00,33.96877441406252,32.99489746093752,-0.973876953125,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,60,2026-08-03 12:00:00,28.403115844726585,29.949700927734398,1.5465850830078125,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,66,2026-08-03 18:00:00,27.971719360351585,28.859521484375023,0.8878021240234375,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,72,2026-08-04 00:00:00,28.326089477539085,29.302209472656273,0.9761199951171875,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,78,2026-08-04 06:00:00,33.7681823730469,33.65480957031252,-0.113372802734375,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,84,2026-08-04 12:00:00,30.280389404296898,30.212121582031273,-0.068267822265625,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,90,2026-08-04 18:00:00,27.061791992187523,27.544396972656273,0.48260498046875,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,96,2026-08-05 00:00:00,28.216729736328148,27.366967773437523,-0.849761962890625,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,102,2026-08-05 06:00:00,32.54267272949221,30.723291015625023,-1.8193817138671875,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,108,2026-08-05 12:00:00,30.055688476562523,30.896813964843773,0.84112548828125,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,114,2026-08-05 18:00:00,28.255426025390648,28.913964843750023,0.658538818359375,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,120,2026-08-06 00:00:00,28.628930664062523,28.048059082031273,-0.58087158203125,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
binh_dinh_audit_01,13.78,109.22,2026-08-01,126,2026-08-06 06:00:00,32.28338012695315,33.04171142578127,0.758331298828125,13.70558269111348,109.25045703839122,8.899839258313467,13.75,109.25,4.647772807552562,ECMWF_TIGGE,ERA5,nearest_to_canonical_audit_only
