run_time,valid_time,lead_hours,short_name,step_type,units,grid_type,grid_N,grid_lat,grid_lon,distance_km,temperature_k,temperature_c
2026-08-01,2026-08-01 00:00:00,0,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.59889221191406,28.448892211914085
2026-08-01,2026-08-01 06:00:00,6,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,302.44236755371094,29.29236755371096
2026-08-01,2026-08-01 12:00:00,12,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.4267120361328,28.276712036132835
2026-08-01,2026-08-01 18:00:00,18,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,300.1268310546875,26.976831054687523
2026-08-01,2026-08-02 00:00:00,24,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.1547546386719,28.004754638671898
2026-08-01,2026-08-02 06:00:00,30,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,306.3840026855469,33.2340026855469
2026-08-01,2026-08-02 12:00:00,36,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.2850799560547,28.13507995605471
2026-08-01,2026-08-02 18:00:00,42,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,300.76853942871094,27.61853942871096
2026-08-01,2026-08-03 00:00:00,48,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.3902893066406,28.240289306640648
2026-08-01,2026-08-03 06:00:00,54,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,307.1187744140625,33.96877441406252
2026-08-01,2026-08-03 12:00:00,60,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.55311584472656,28.403115844726585
2026-08-01,2026-08-03 18:00:00,66,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.12171936035156,27.971719360351585
2026-08-01,2026-08-04 00:00:00,72,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.47608947753906,28.326089477539085
