document_id,seed_id,source_id,requested_url,final_url,expected_bucket,http_status,content_type,file_size_bytes,checksum,raw_path,status,error
DOC0012,SEED012,S03_ASISOV,https://asisov.org.vn/uploads/resources/vmhtKVhQhQnTAI%20LIEU%20HOI%20NGHI%20GIOI%20THIEU%20TIEN%20BO%20KY%20THUAT%20LINH%20VUC%20TRONG%20TROT%2C%20THUY%20SAN%20V%C3%99NG%20NAM%20TRUNG%20BO%2C%20TAY%20NGUYEN%202025.pdf,https://asisov.org.vn/uploads/resources/vmhtKVhQhQnTAI%20LIEU%20HOI%20NGHI%20GIOI%20THIEU%20TIEN%20BO%20KY%20THUAT%20LINH%20VUC%20TRONG%20TROT%2C%20THUY%20SAN%20V%C3%99NG%20NAM%20TRUNG%20BO%2C%20TAY%20NGUYEN%202025.pdf,B08_LOCAL,200,application/pdf,24309367,25d1c3c67d91f26ca9a1c28d80804787ad5b6559be644ec9cf747a0205a145d2,data\agri_rag\raw\DOC0012.pdf,SUCCESS,
DOC0013,SEED013,S01_PPD,https://ppd.gov.vn/FileUpload/Documents/Thuoc%20BVTV/25.12.30_%20TT%2075.2025.BNNMT.pdf,https://ppd.gov.vn/FileUpload/Documents/Thuoc%20BVTV/25.12.30_%20TT%2075.2025.BNNMT.pdf,B06_PESTICIDE_LEGAL,200,application/pdf,1178447,cbf39c624f785a615ca141e26cddab15e1870e1ca1961ae37d7fb7be509dcfc4,data\agri_rag\raw\DOC0013.pdf,SUCCESS,
DOC0014,SEED014,S01_PPD,https://sansangxuatkhau.ppd.gov.vn/FileUpload/Documents/25.12.30_PL%202%20-%20Danh%20m%E1%BB%A5c%20c%E1%BA%A5m%20s%E1%BB%AD%20d%E1%BB%A5ng.pdf,https://sansangxuatkhau.ppd.gov.vn/FileUpload/Documents/25.12.30_PL%202%20-%20Danh%20m%E1%BB%A5c%20c%E1%BA%A5m%20s%E1%BB%AD%20d%E1%BB%A5ng.pdf,B06_PESTICIDE_LEGAL,200,application/pdf,217723,d1051ba6b8e537c853d890371ee859ec2bbeb40c48aa417327aef4571446e03a,data\agri_rag\raw\DOC0014.pdf,SUCCESS,
DOC0015,SEED015,S01_PPD,https://ppd.gov.vn/FileUpload/Documents/Thuoc%20BVTV/26.07.03_TT%2028-2026%20DM%20thuoc%20BVTV_260701151148.pdf,https://ppd.gov.vn/FileUpload/Documents/Thuoc%20BVTV/26.07.03_TT%2028-2026%20DM%20thuoc%20BVTV_260701151148.pdf,B06_PESTICIDE_LEGAL,200,application/pdf,1109225,8687115e6e19a5ea4fcfa00fb36d7ba0c92cffc0870831ff69b59c3e7ca331a3,data\agri_rag\raw\DOC0015.pdf,SUCCESS,
DOC0016,SEED016,S01_PPD,https://ppd.gov.vn/FileUpload/Documents/Thuoc%20BVTV/26.07.03_PL%20TT28__01072026152914_signed.pdf,https://ppd.gov.vn/FileUpload/Documents/Thuoc%20BVTV/26.07.03_PL%20TT28__01072026152914_signed.pdf,B06_PESTICIDE_LEGAL,200,application/pdf,1105133,3df5b456ef5e6bcfe23795d4c95f4c2e4d0e68e1e0dc49025b786e24ca3a1300,data\agri_rag\raw\DOC0016.pdf,SUCCESS,
DOC0018,SEED018,S05_TNAU,https://agritech.tnau.ac.in/horticulture/horti_spice%20crops_corinader.html,https://agritech.tnau.ac.in/horticulture/horti_spice%20crops_corinader.html,B01_CROP_PROFILE,200,text/html,36656,591026509b52ad390810bbca7d4348c3ecaea5a0af1aee075680a2d85a1e1d3f,data\agri_rag\raw\DOC0018.html,SUCCESS,
DOC0019,SEED019,S06_UF_IFAS,https://ask.ifas.ufl.edu/publication/HS1276,https://ask.ifas.ufl.edu/publication/HS1276,B01_CROP_PROFILE,200,text/html; charset=utf-8,114858,6adbbabb2c654386fb8f72a6d923c64adb389fa8e501d016fcd17caa6c72cfb3,data\agri_rag\raw\DOC0019.html,SUCCESS,
DOC0017,SEED017,S07_CTU,https://coa.ctu.edu.vn/khuyen-nong-khct/539-canh-tac-ngo-ri-phan-1-ky-thuat-trong.html,https://coa.ctu.edu.vn/khuyen-nong-khct/539-canh-tac-ngo-ri-phan-1-ky-thuat-trong.html,B01_CROP_PROFILE,200,text/html; charset=utf-8,25293,81d631142ec293b73cbb488aefbf1392143ae7509de5969afa358e468c5dcaf9,data\agri_rag\raw\DOC0017.html,SUCCESS,
DOC0020,SEED020,S02_EXTENSION,https://khuyennongvn.gov.vn/portals/0/tailieu/2021/05/hangweb/2_phuluc_qd724_dm_trongtrot.pdf,https://khuyennongvn.gov.vn/portals/0/tailieu/2021/05/hangweb/2_phuluc_qd724_dm_trongtrot.pdf,B01_CROP_PROFILE,200,application/pdf,1827193,a19be60cf8d500b72257d56e5a88ec12390eb795999eacdf260bcc9bc0a2ad0f,data\agri_rag\raw\DOC0020.pdf,SUCCESS,
DOC0021,SEED021,S08_OMAFRA,https://www.omafra.gov.on.ca/CropOp/en/spec_veg/leafy_veg/chry.html,https://www.omafra.gov.on.ca/CropOp/en/spec_veg/leafy_veg/chry.html,B04_PEST_DISEASE,200,text/html,17333,281212c66019d8752262fffd249643cc899c020e4c6fdfb15de6c297837c4dde,data\agri_rag\raw\DOC0021.html,SUCCESS,
